tag_code_or_release_id,tag_type,species,run,brood_year,first_release_date,last_release_date,release_location_code,hatchery_location_code,stock_location_code,release_stage,rearing_type,study_type,release_strategy,avg_weight,avg_length,study_integrity,cwt_1st_mark,cwt_1st_mark_count,cwt_2nd_mark,cwt_2nd_mark_count,non_cwt_1st_mark,non_cwt_1st_mark_count,non_cwt_2nd_mark,non_cwt_2nd_mark_count,counting_method,tag_loss_rate,tag_loss_days,tag_loss_sample_size,tag_reused,comments,release_location_name,hatchery_location_name,stock_location_name,record_origin,tagged_adclipped,tagged_unclipped,untagged_adclipped,untagged_unclipped,untagged_unknown
"!03NOCN0974",,"1","1","2009","20100527","20100527","2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","F","H","P",,"1.44","50","N",,,,,"0000","5620",,,"B",,,,,,"R-Nicola R","H-Spius Creek H","S-Nicola R","N","0","0","0","5620","0"
"184182","12","1","1","2015","20170420","20170420","2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","FR",,,"N","5000","52224",,,"5000","5424",,,"B","0.0941",,,,,"R-Nicola R","H-Spius Creek H","S-Nicola R","N","52224","0","5424","0","0"
"026345","0","1","1","1992","199304","19930414","2FS  TOMMR0252","2FS  TOMMH0160","2FS  TOMMS0252","S","H","B",,"3.3","60","N","5000","12654",,,"0000","6226",,,"W",,"1",,,"BIODIET-REP 2","R-Bonaparte R","H-Spius Creek H","S-Bonaparte R","N","12654","0","0","6226","0"
"182734","0","1","1","1995","199704","19970429","2FS  TOMMR0160","2FS  TOMMH0160","2FS  TOMMS0160","Y","H","P",,"17.5","114","N","5000","47160",,,"0000","4999","5000","237","B","0.005","1","500",,"YEARLING RELEASE","R-Spius Cr","H-Spius Creek H","S-Spius Cr","N","47160","0","237","4999","0"
"025518","0","1","1","1988","198904","19890417","2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","S","H","B",,"5","77","N","5000","51138",,,"5000","154",,,,"0.003","1",,,"IMPRINT","R-Nicola R","H-Spius Creek H","S-Nicola R","N","51138","0","154","0","0"
"025738","0","1","1","1988","198904","19890417","2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","S","H","P",,"5.5","78","N","5000","26095",,,"0000","45568","5000","235",,"0.0089","1",,,"CONTROL FOR IMPRINT GROUP","R-Nicola R","H-Spius Creek H","S-Nicola R","N","26095","0","235","45568","0"
"181582","12","1","1","2009","20110428","20110429","2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","FR","18.64","118","N","5000","54056",,,"0000","2457","5000","1672","B","0.03","30","327",,,"R-Nicola R","H-Spius Creek H","S-Nicola R","N","54056","0","1672","2457","0"
"!03NOCN1250",,"1","1","2012","20130430","20130501","2FS  TOMMR1387","2FS  TOMMH0160","2FS  TOMMS1387","F","H","P","FR","1.89","54","N",,,,,"0000","33028",,,"B",,,,,,"R-Coldwater R","H-Spius Creek H","S-Coldwater R","N","0","0","0","33028","0"
"!03NOCN1251",,"1","1","2012","20130607","20130613","2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","F","H","P","FR","1.8","53","N",,,,,"0000","39950",,,"B",,,,,,"R-Nicola R","H-Spius Creek H","S-Nicola R","N","0","0","0","39950","0"
"026344","0","1","1","1992","199304","19930407","2FS  TOMMR0252","2FS  TOMMH0160","2FS  TOMMS0252","S","H","B",,"2.5","51","N","5000","14458",,,"0000","4784",,,"W",,"1",,,"BIODIET REP 1","R-Bonaparte R","H-Spius Creek H","S-Bonaparte R","N","14458","0","0","4784","0"
