"","WAIC","SE","dWAIC","dSE","pWAIC","weight"
"Model 8",55.29,4.67,0,NA,5.32,0.13
"Model 7b",55.31,4.5,0.02,3.13,4.77,0.13
"Model 8b",55.35,4.38,0.05,1.61,4.87,0.13
"Model 11b",56.1,4.45,0.8,2.33,5.38,0.09
"Model 5b",56.41,5.73,1.11,4.37,4.03,0.07
"Model 11",56.71,4.36,1.41,1.13,5.79,0.06
"Model 9b",56.88,5.98,1.59,4.84,4.56,0.06
"Model 5",56.92,5.67,1.62,4.06,4.48,0.06
"Model 7",56.93,4.46,1.64,2.92,5.34,0.06
"Model 4b",57.71,4.38,2.42,4.05,3.29,0.04
"Model 9",58.09,5.62,2.8,4.37,5.04,0.03
"Model 2b",58.3,5.92,3.01,5.55,3.42,0.03
"Model 6b",59.07,5.71,3.78,5.14,4.45,0.02
"Model 4",59.19,4.26,3.9,4.05,3.85,0.02
"Model 2",60.1,5.61,4.81,5.44,4,0.01
"Model 0b",60.19,4.67,4.89,4.65,2.97,0.01
"Model 1b",60.38,5.22,5.09,4.83,3.62,0.01
"Model 10b",60.66,5.56,5.37,4.88,5.02,0.01
"Model 3b",60.79,5.29,5.5,5.03,4.02,0.01
"Model 6",60.85,5.44,5.55,4.96,4.97,0.01
"Model 1",61.12,4.99,5.82,4.54,3.97,0.01
"Model 0",61.51,4.46,6.22,4.54,3.44,0.01
"Model 3",61.97,5.17,6.68,4.84,4.46,0
"Model 10",62.06,5.26,6.77,4.63,5.41,0
