"","COLDWATER RIVER AT MERRITT","COLDWATER RIVER NEAR BROOKMERE","GUICHON CREEK AT OUTLET OF MAMIT LAKE","NICOLA RIVER AT OUTLET OF NICOLA LAKE","NICOLA RIVER NEAR SPENCES BRIDGE","SPIUS CREEK NEAR CANFORD"
"1911",0,0,0,0,122,122
"1912",0,0,0,0,275,153
"1913",153,0,0,0,245,183
"1914",275,0,0,0,244,306
"1915",334,0,0,0,244,273
"1916",306,0,0,0,275,0
"1917",304,0,0,0,275,365
"1918",245,0,0,0,365,214
"1919",275,0,0,0,306,275
"1920",337,0,0,0,274,274
"1921",273,0,0,0,0,0
"1936",0,0,153,0,0,0
"1937",0,0,153,0,0,0
"1938",0,0,183,0,0,0
"1939",0,0,183,0,0,0
"1940",0,0,183,0,0,0
"1941",0,0,183,0,0,0
"1942",0,0,183,0,0,0
"1943",0,0,123,0,0,0
"1944",0,0,153,0,0,0
"1957",0,0,0,0,184,0
"1958",0,0,0,0,365,0
"1959",0,0,0,0,365,0
"1960",0,0,0,0,306,0
"1961",275,0,0,0,365,0
"1962",365,0,0,0,334,0
"1963",365,0,0,0,334,0
"1964",366,0,0,0,366,0
"1965",365,122,0,0,365,0
"1966",365,365,0,0,365,0
"1967",365,334,0,0,365,0
"1968",366,366,0,0,366,0
"1969",365,365,0,0,365,0
"1970",365,365,0,0,365,275
"1971",365,365,0,0,365,365
"1972",366,366,0,0,366,366
"1973",365,365,0,0,365,365
"1974",365,365,0,0,365,365
"1975",365,365,0,0,365,365
"1976",366,366,0,0,366,366
"1977",365,365,0,0,365,365
"1978",365,365,0,0,365,365
"1979",365,365,0,0,365,365
"1980",366,366,0,0,366,366
"1981",365,365,0,0,365,365
"1982",365,365,365,0,365,365
"1983",365,365,365,365,365,365
"1984",366,366,366,366,366,366
"1985",365,365,304,365,365,365
"1986",365,365,245,365,365,365
"1987",365,365,365,365,365,365
"1988",366,366,366,366,366,366
"1989",365,365,365,365,365,365
"1990",365,365,365,365,365,365
"1991",365,365,365,365,365,365
"1992",366,366,366,366,366,366
"1993",365,365,365,365,365,365
"1994",365,365,365,365,365,365
"1995",181,365,365,365,365,365
"1996",0,366,366,366,366,366
"1997",0,365,365,365,365,365
"1998",0,365,365,365,365,365
"1999",0,365,365,365,365,365
"2000",0,366,366,366,366,366
"2001",0,365,365,365,365,365
"2002",0,365,306,365,365,365
"2003",0,365,365,365,365,365
"2004",0,366,366,366,366,366
"2005",275,365,365,365,365,365
"2006",365,365,365,365,365,365
"2007",365,365,365,365,365,365
"2008",366,366,366,366,366,213
"2009",365,365,365,365,365,0
"2010",365,365,273,365,365,0
"2011",365,365,365,365,365,275
"2012",366,366,366,366,366,366
"2013",365,365,365,365,365,365
"2014",365,365,365,365,365,365
"2015",365,365,365,365,0,0
"2016",366,366,0,0,0,0
