"","1","2","3","4","5","6","7","8","9","10","11","12"
"1911",0,0,0,0,0,0,0,31,30,31,30,0
"1912",0,0,0,26,31,30,31,31,7,31,30,21
"1913",0,0,0,0,23,30,31,31,30,31,30,11
"1914",0,0,0,11,12,9,7,8,8,2,3,0
"1915",0,0,0,30,31,30,31,31,30,17,4,0
"1916",0,0,0,30,31,30,31,31,30,31,30,31
"1917",0,0,0,30,31,30,31,31,30,31,30,4
"1918",3,3,16,30,31,30,31,31,30,12,6,6
"1919",0,0,3,13,12,13,13,11,11,31,30,31
"1920",31,29,8,14,14,11,13,13,13,0,0,0
"1957",0,0,0,0,0,0,9,31,30,31,30,31
"1958",31,28,31,30,31,30,31,31,30,31,30,31
"1959",31,28,31,30,31,30,31,31,30,31,30,31
"1960",0,0,17,30,31,30,31,31,30,31,30,31
"1961",31,28,31,30,31,30,31,31,30,31,30,31
"1962",31,28,31,30,31,30,31,31,30,5,22,0
"1963",0,28,31,30,31,30,31,31,30,31,30,31
"1964",31,29,31,30,31,30,31,31,30,31,30,31
"1965",31,28,31,30,31,30,31,31,30,31,30,31
"1966",31,28,31,30,31,30,31,31,30,31,30,31
"1967",31,28,31,30,31,30,31,31,30,31,30,31
"1968",31,29,31,30,31,30,31,31,30,31,30,31
"1969",31,28,31,30,31,30,31,31,30,31,30,31
"1970",31,28,31,30,31,30,31,31,30,31,30,31
"1971",31,28,31,30,31,30,31,31,30,31,30,31
"1972",31,29,31,30,31,30,31,31,30,31,30,31
"1973",31,28,31,30,31,30,31,31,30,31,30,31
"1974",31,28,31,30,31,30,31,31,30,31,30,31
"1975",31,28,31,30,31,30,31,31,30,31,30,31
"1976",31,29,31,30,31,30,31,31,30,31,30,31
"1977",31,28,31,30,31,30,31,31,30,31,30,31
"1978",31,28,31,30,31,30,31,31,30,31,30,31
"1979",31,28,31,30,31,30,31,31,30,31,30,31
"1980",31,29,31,30,31,30,31,31,30,31,30,31
"1981",31,28,31,30,31,30,31,31,30,31,30,31
"1982",31,28,31,30,31,30,31,31,30,31,30,31
"1983",31,28,31,30,31,30,31,31,30,31,30,31
"1984",31,29,31,30,31,30,31,31,30,31,30,31
"1985",31,28,31,30,31,30,31,31,30,31,30,31
"1986",31,28,31,30,31,30,31,31,30,31,30,31
"1987",31,28,31,30,31,30,31,31,30,31,30,31
"1988",31,29,31,30,31,30,31,31,30,31,30,31
"1989",31,28,31,30,31,30,31,31,30,31,30,31
"1990",31,28,31,30,31,30,31,31,30,31,30,31
"1991",31,28,31,30,31,30,31,31,30,31,30,31
"1992",31,29,31,30,31,30,31,31,30,31,30,31
"1993",31,28,31,30,31,30,31,31,30,31,30,31
"1994",31,28,31,30,31,30,31,31,30,31,30,31
"1995",31,28,31,30,31,30,31,31,30,31,30,31
"1996",31,29,31,30,31,30,31,31,30,31,30,31
"1997",31,28,31,30,31,30,31,31,30,31,30,31
"1998",31,28,31,30,31,30,31,31,30,31,30,31
"1999",31,28,31,30,31,30,31,31,30,31,30,31
"2000",31,29,31,30,31,30,31,31,30,31,30,31
"2001",31,28,31,30,31,30,31,31,30,31,30,31
"2002",31,28,31,30,31,30,31,31,30,31,30,31
"2003",31,28,31,30,31,30,31,31,30,31,30,31
"2004",31,29,31,30,31,30,31,31,30,31,30,31
"2005",31,28,31,30,31,30,31,31,30,31,30,31
"2006",31,28,31,30,31,30,31,31,30,31,30,31
"2007",31,28,31,30,31,30,31,31,30,31,30,31
"2008",31,29,31,30,31,30,31,31,30,31,30,31
"2009",31,28,31,30,31,30,31,31,30,31,30,31
"2010",31,28,31,30,31,30,31,31,30,31,30,31
"2011",31,28,31,30,31,30,31,31,30,31,30,31
"2012",31,29,31,30,31,30,31,31,30,31,30,31
"2013",31,28,31,30,31,30,31,31,30,31,30,31
"2014",31,28,31,30,31,30,31,31,30,31,30,31
