"","tag_code_or_release_id","tag_type","species","run","brood_year","first_release_date","last_release_date","release_location_code","hatchery_location_code","stock_location_code","release_stage","rearing_type","study_type","release_strategy","avg_weight","avg_length","study_integrity","cwt_1st_mark","cwt_1st_mark_count","cwt_2nd_mark","cwt_2nd_mark_count","non_cwt_1st_mark","non_cwt_1st_mark_count","non_cwt_2nd_mark","non_cwt_2nd_mark_count","counting_method","tag_loss_rate","tag_loss_days","tag_loss_sample_size","tag_reused","comments","release_location_name","hatchery_location_name","stock_location_name","record_origin","tagged_adclipped","tagged_unclipped","untagged_adclipped","untagged_unclipped","untagged_unknown"
"1","!03NOCN0974",NA,1,1,2009,2010-05-27,2010-05-27,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","F","H","P","",1.44,50,"N",NA,NA,NA,NA,0,5620,NA,NA,"B",NA,NA,NA,NA,"","R-Nicola R","H-Spius Creek H","S-Nicola R","N",0,0,0,5620,0
"2","184182",12,1,1,2015,2017-04-20,2017-04-20,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","FR",NA,NA,"N",5000,52224,NA,NA,5000,5424,NA,NA,"B",0.0941,NA,NA,NA,"","R-Nicola R","H-Spius Creek H","S-Nicola R","N",52224,0,5424,0,0
"5","025518",0,1,1,1988,1989-04-01,1989-04-17,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","S","H","B","",5,77,"N",5000,51138,NA,NA,5000,154,NA,NA,"",0.003,1,NA,NA,"IMPRINT","R-Nicola R","H-Spius Creek H","S-Nicola R","N",51138,0,154,0,0
"6","025738",0,1,1,1988,1989-04-01,1989-04-17,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","S","H","P","",5.5,78,"N",5000,26095,NA,NA,0,45568,5000,235,"",0.0089,1,NA,NA,"CONTROL FOR IMPRINT GROUP","R-Nicola R","H-Spius Creek H","S-Nicola R","N",26095,0,235,45568,0
"7","181582",12,1,1,2009,2011-04-28,2011-04-29,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","FR",18.64,118,"N",5000,54056,NA,NA,0,2457,5000,1672,"B",0.03,30,327,NA,"","R-Nicola R","H-Spius Creek H","S-Nicola R","N",54056,0,1672,2457,0
"9","!03NOCN1251",NA,1,1,2012,2013-06-07,2013-06-13,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","F","H","P","FR",1.8,53,"N",NA,NA,NA,NA,0,39950,NA,NA,"B",NA,NA,NA,NA,"","R-Nicola R","H-Spius Creek H","S-Nicola R","N",0,0,0,39950,0
"18","180853",0,1,1,1992,1993-06-01,1993-06-29,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","S","H","P","",4.1,70,"N",5000,75560,NA,NA,0,37887,5000,763,"W",0.01,1,300,NA,"TIME OF RELEASE-POST FRESHET","R-Nicola R","H-Spius Creek H","S-Nicola R","N",75560,0,763,37887,0
"23","180990",12,1,1,2008,2010-04-10,2010-04-20,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","Y","H","P","",17.25,113,"N",5000,24448,NA,NA,5000,862,NA,NA,"W",0.0353,30,820,NA,"","R-Nicola R","H-Spius Creek H","S-Nicola R","N",24448,0,862,0,0
"24","023730",0,1,1,1985,1986-09-01,1986-09-12,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","F","H","B","",6.1,NA,"N",5000,75240,NA,NA,0,33210,5000,760,"",0.01,1,NA,NA,"TIME OF RELEASE: FALL","R-Nicola R","H-Spius Creek H","S-Nicola R","N",75240,0,760,33210,0
"25","!03NOCN0776",NA,1,1,2007,2008-06-19,2008-06-20,"2FS  TOMMR0253","2FS  TOMMH0160","2FS  TOMMS0253","F","H","B","",3.55,66,"N",NA,NA,NA,NA,0,62268,NA,NA,"B",NA,NA,NA,NA,"RELEASED OVER 30 KM.","R-Nicola R","H-Spius Creek H","S-Nicola R","N",0,0,0,62268,0
