"","jan_mean_flow","feb_mean_flow","mar_mean_flow","apr_mean_flow","may_mean_flow","jun_mean_flow","jul_mean_flow","aug_mean_flow","sep_mean_flow","oct_mean_flow","nov_mean_flow","dec_mean_flow","jan_mean_flow_rear","feb_mean_flow_rear","mar_mean_flow_rear","apr_mean_flow_rear","may_mean_flow_rear","jun_mean_flow_rear","jul_mean_flow_rear","aug_mean_flow_rear","sep_mean_flow_rear","oct_mean_flow_rear","nov_mean_flow_rear","dec_mean_flow_rear"
"jan_mean_flow",1,0.506025815905223,0.198083636265357,0.229787447815978,-0.0699349031276569,0.197017295653306,0.0923941221542766,-0.0170144585255266,-0.0962281611879154,-0.252888402804156,-0.20325460060958,-0.171209485360519,-0.157046989272176,-0.0649273753544755,0.151315592211617,0.0288407270973903,0.278566700597047,0.0660632233074313,0.0367834745289941,0.0220840079579959,-0.087756640398092,0.525191171029133,0.365601979898138,-0.0923751405858008
"feb_mean_flow",0.506025815905223,1,0.542264608046372,0.445854931294829,0.0698961431832886,-0.083850917724921,0.00117708503906226,0.0535669663735654,-0.0131799822242833,0.224105740561777,0.183877559198083,0.42489761942072,0.142073608834462,0.191457201677451,0.093891383704646,0.188154973543052,0.302761743731797,0.00476980074676154,-0.0151013121594437,0.02775998685782,-0.0607890719970386,-0.129549803648708,0.496645880876704,-0.157309543878004
"mar_mean_flow",0.198083636265357,0.542264608046372,1,0.652800163424933,0.0609985179111514,-0.0825451712030183,-0.0341343111293667,-0.0452826128142317,0.011044376001814,0.276342605913177,-0.0777774930820248,0.470726466037775,-0.0984185495204249,0.143171940838198,-0.0101470117353217,-0.163588687266476,0.362724986384476,-0.0301365847211493,-0.0437443069345214,0.048739010291258,0.00176920342435253,-0.0724139796993292,0.113968132915787,-0.0888185086917682
"apr_mean_flow",0.229787447815978,0.445854931294829,0.652800163424933,1,0.321885646368366,0.163865960208527,0.235026288723821,0.174842362552167,0.387684950240163,0.248633118684313,-0.0703916764908888,0.181027196555012,-0.166757635697121,0.261216180409083,0.0954043814927489,0.052900141059983,0.519151418150097,-0.0917081324170207,-0.0154243753413965,0.081624580012277,0.0346171516442456,0.137237900192289,-0.176617709043865,0.0346826867769137
"may_mean_flow",-0.0699349031276569,0.0698961431832886,0.0609985179111514,0.321885646368366,1,0.642603775409183,0.574006608477503,0.572000750704077,0.495009906367048,0.150169915955881,0.076187299827279,-0.113659671947612,-0.357345653636605,-0.147692828401358,-0.0438443203140506,0.0219578874879285,0.151832342580659,-0.0809284045653201,0.124219416576259,0.0741048280301071,-0.239122422628508,0.0388189150261535,-0.207063400789913,-0.115697966848789
"jun_mean_flow",0.197017295653306,-0.083850917724921,-0.0825451712030183,0.163865960208527,0.642603775409183,1,0.858793339787518,0.83542338542193,0.582326738060214,0.0279949478697445,-0.00259588935819511,-0.235461189447591,-0.423508436382133,-0.168701223519055,-0.136292601103293,0.0778809844402645,0.156005931124217,0.0101224285499508,0.125725231547331,0.0868208087286484,0.00959742873111004,0.397632933590997,-0.358787246660438,-0.360020943991591
"jul_mean_flow",0.0923941221542766,0.00117708503906226,-0.0341343111293667,0.235026288723821,0.574006608477503,0.858793339787518,1,0.946060216032047,0.598547737160233,0.0493652927186781,0.0659581144513122,-0.116174120868412,-0.35931520261781,-0.252134779273465,-0.28478697826326,0.0320381594124759,0.172034284416386,-0.000886977574918147,0.124005036437956,0.129094977556077,0.127679683878536,0.107989830957559,-0.265439607405707,-0.468845416744563
"aug_mean_flow",-0.0170144585255266,0.0535669663735654,-0.0452826128142317,0.174842362552167,0.572000750704077,0.83542338542193,0.946060216032047,1,0.667092524826303,0.0695439952321902,0.193865241740646,-0.00771648820381856,-0.214312416113149,-0.147017165720377,-0.253793405355002,0.0562463728803335,0.113421285173076,0.00312823808133441,0.108602357929631,0.122681329028391,0.0739423564520492,0.00660841550071571,-0.309361341990441,-0.52945318253735
"sep_mean_flow",-0.0962281611879154,-0.0131799822242833,0.011044376001814,0.387684950240163,0.495009906367048,0.582326738060214,0.598547737160233,0.667092524826303,1,0.0619044633124394,-0.052448352895539,-0.00190024592854702,-0.064085870372597,0.0290593265484211,-0.250781922219443,-0.306115321039172,0.100419611224754,-0.0282779080734596,0.0486668008181456,0.0671750736349284,-0.163420086501683,-0.145339039144609,-0.392726214859146,-0.303460574101239
"oct_mean_flow",-0.252888402804156,0.224105740561777,0.276342605913177,0.248633118684313,0.150169915955881,0.0279949478697445,0.0493652927186781,0.0695439952321902,0.0619044633124394,1,-0.0487091723420427,0.0877151349334482,-0.246169806783595,-0.127965486437331,-0.130797826139084,0.00788151748191191,-0.12248079241202,-0.372170705933206,-0.349375569287379,-0.300391783885188,0.00827280846424293,-0.395610811283787,-0.061750261002629,0.326974105712748
"nov_mean_flow",-0.20325460060958,0.183877559198083,-0.0777774930820248,-0.0703916764908888,0.076187299827279,-0.00259588935819511,0.0659581144513122,0.193865241740646,-0.052448352895539,-0.0487091723420427,1,0.532583106613726,0.353570993180903,0.459906195702837,0.639678688068698,0.596604936215648,-0.129915585953673,-0.0087129516111125,-0.0419724986280341,-0.0149266067123737,0.120171687155831,-0.0593243877078195,-0.266388713537223,-0.0173039537264828
"dec_mean_flow",-0.171209485360519,0.42489761942072,0.470726466037775,0.181027196555012,-0.113659671947612,-0.235461189447591,-0.116174120868412,-0.00771648820381856,-0.00190024592854702,0.0877151349334482,0.532583106613726,1,0.600642719115962,0.658068171395306,0.20912391751406,0.163509956526335,-0.187290185162164,-0.117809972566974,-0.0776482077521074,-0.0555593794448602,-0.063576995535155,-0.224645598966866,0.0157526871788126,-0.154313428387158
"jan_mean_flow_rear",-0.157046989272176,0.142073608834462,-0.0984185495204249,-0.166757635697121,-0.357345653636605,-0.423508436382133,-0.35931520261781,-0.214312416113149,-0.064085870372597,-0.246169806783595,0.353570993180903,0.600642719115962,1,0.679449544400611,0.221941543681937,0.245460482119471,-0.0743670207467853,0.187059946301416,0.0905032740298397,0.0104574588797368,-0.097957448294595,-0.218855259733857,-0.011129493900257,-0.0716765549674031
