"brood_year","total_spawners","CV","wild_spawners","hatchery_spawners","wild_recruits"
1975,5606.29575355514,0.203064871076915,5606.29575355514,0,NA
1976,4444.92918175066,0.203177575931553,4444.92918175066,0,NA
1977,3498.08556482992,0.204056343826276,3498.08556482992,0,NA
1978,3973.78880248419,0.203492479314104,3973.78880248419,0,NA
1979,3017.06163196276,0.204982820581471,3017.06163196276,0,NA
1980,6179.56938859857,0.203234279903257,6179.56938859857,0,NA
1981,3258.29551103951,0.204464740654972,3258.29551103951,0,NA
1982,4737.33609070139,0.203074108387633,4737.33609070139,0,NA
1983,2406.67158765924,0.206955776356657,2406.67158765924,0,NA
1984,4678.9734077309,0.203089941019196,4678.9734077309,0,NA
1985,7088.24983472596,0.203689432331644,7088.24983472596,0,NA
1986,7875.80027250754,0.204209818047886,7875.80027250754,0,NA
1987,4444.92918175066,0.203177575931553,3448.74221228617,996.186969464498,NA
1988,3246.26917193615,0.204487848516359,2623.19958735064,623.069584585506,NA
1989,4444.92918175066,0.203177575931553,3377.46096262705,1067.46821912361,NA
1990,3017.06163196276,0.204982820581471,2412.21373009881,604.847901863953,NA
1991,3258.29551103951,0.204464740654972,-160.400949490821,3418.69646053033,NA
1992,5060.80495804624,0.203024778938125,3816.45562766305,1244.34933038319,NA
1993,5028.30202572541,0.20302699421048,2579.7365351505,2448.56549057491,NA
1994,9510.37683121485,0.205507862539457,3685.83157635757,5824.54525485728,NA
1995,10625,0.05,4968,5657,2808
1996,17778,0.04,17101,677,6836
1997,9612,0.04,9148,464,7115
1998,1547,0.13,1164,383,10502
1999,8130,0.04,2674,5456,15935
2000,8183,0.04,5134,3049,9653
2001,8984,0.04,5471,3513,4764
2002,12887,0.03,9302,3585,7685
2003,14491,0.03,10632,3859,1282
2004,10152,0.06,9338,814,4986
2005,3248,0.07,2705,543,1115
2006,5087,0.06,4442,645,3518
2007,1009,0.1,896,113,2367
2008,4411,0.08,3571,840,6645
2009,538,0.11,431,107,4312
2010,5257,0.06,2853,2404,7082
2011,2731,0.07,2153,578,4695
2012,5702,0.09,5121,581,1835
2013,3445,0.07,1974,1471,1009
2014,7122,0.05,6572,550,NA
2015,4837,0.04,3418,1419,NA
2016,2180,0.1,1365,815,NA
2017,1702,0.11,802,900,NA
2018,1630,0.12,435,1195,NA
