"","brood_year","wild_recruits","total_spawners","wild_spawners","hatchery_spawners","CV","recruits_per_spawner","jan_mean_flow","feb_mean_flow","mar_mean_flow","apr_mean_flow","may_mean_flow","jun_mean_flow","jul_mean_flow","aug_mean_flow","sep_mean_flow","oct_mean_flow","nov_mean_flow","dec_mean_flow","sep_oct_Q10_flow","jan_feb_max_flow","ice_days","sep_dec_max_flow","jan_mean_flow_rear","feb_mean_flow_rear","mar_mean_flow_rear","apr_mean_flow_rear","may_mean_flow_rear","jun_mean_flow_rear","jul_mean_flow_rear","aug_mean_flow_rear","sep_mean_flow_rear","oct_mean_flow_rear","nov_mean_flow_rear","dec_mean_flow_rear","sep_oct_Q10_flow_rear","jan_feb_max_flow_rear","ice_days_rear","sep_dec_max_flow_rear","smolt_age3_survival"
"3",1992,17044,5061,3816,1244,0.2,3.36771389053547,10.2800000559899,18.5344829888179,30.0806450997629,47.5933336257935,51.1451615979595,25.4299999554952,11.9280645616593,5.07258062208852,4.80400001207987,7.73000000369164,8.24800003369649,5.42193548140987,4.26999998092651,6.55999994277954,98,15.5,4.508709684495,5.15499998841967,8.67483872752036,19.1933333714803,81.432258113738,35.6466670354207,25.4258062301143,27.2677418493455,8.63333331743876,8.31387095297537,7.60800002415975,9.20774201423891,6.92999982833862,11.3999996185303,35,15.1999998092651,0.000986
"4",1993,11252,5028,2580,2449,0.2,2.23786793953858,4.508709684495,5.15499998841967,8.67483872752036,19.1933333714803,81.432258113738,35.6466670354207,25.4258062301143,27.2677418493455,8.63333331743876,8.31387095297537,7.60800002415975,9.20774201423891,6.92999982833862,11.3999996185303,35,15.1999998092651,9.49870977094097,8.24357143470219,18.3806451059157,60.283333269755,74.2903223345357,30.9199998855591,11.1583870303246,5.02967743719778,3.86433333555857,4.42548388050448,4.70499997933706,7.79451610196021,3.4300000667572,34,67,30.3999996185303,0.007657
"5",1994,1951,9510,3686,5825,0.21,0.20515247108307,9.49870977094097,8.24357143470219,18.3806451059157,60.283333269755,74.2903223345357,30.9199998855591,11.1583870303246,5.02967743719778,3.86433333555857,4.42548388050448,4.70499997933706,7.79451610196021,3.4300000667572,34,67,30.3999996185303,4.62741933330413,16.2625000306538,15.0129031212099,32.0033332824707,107.338709923529,61.8200003306071,17.6774194163661,8.85483872505927,4.664333375295,11.3232258673637,46.8069997787476,24.8025805565619,4.21999979019165,29,44,208,0.010722
"6",1995,2808,10625,4968,5657,0.05,0.264282352941176,4.62741933330413,16.2625000306538,15.0129031212099,32.0033332824707,107.338709923529,61.8200003306071,17.6774194163661,8.85483872505927,4.664333375295,11.3232258673637,46.8069997787476,24.8025805565619,4.21999979019165,29,44,208,17.1732257258508,15.8941378757871,26.7709676681026,65.4133334477742,73.2064519082346,88.1366661071777,25.4677419047202,8.43516132908483,5.23333336512248,6.85193544818509,12.2736666043599,7.27645163382253,4.90000009536743,18.2999992370605,45,27.7999992370605,0.058187
"7",1996,6836,17778,17101,677,0.04,0.384520193497581,17.1732257258508,15.8941378757871,26.7709676681026,65.4133334477742,73.2064519082346,88.1366661071777,25.4677419047202,8.43516132908483,5.23333336512248,6.85193544818509,12.2736666043599,7.27645163382253,4.90000009536743,18.2999992370605,45,27.7999992370605,8.74999996923631,14.25,22.6096775916315,57.3366668065389,197.032258064516,116.549999491374,42.5354836986911,13.0354838217458,8.04466662406921,17.5129033673194,16.9899999300639,10.8332258655179,7.26999998092651,12.8000001907349,24,35.2000007629395,0.046161
"8",1997,7115,9612,9148,464,0.04,0.740220557636288,8.74999996923631,14.25,22.6096775916315,57.3366668065389,197.032258064516,116.549999491374,42.5354836986911,13.0354838217458,8.04466662406921,17.5129033673194,16.9899999300639,10.8332258655179,7.26999998092651,12.8000001907349,24,35.2000007629395,9.19258065377512,8.81285723618099,12.2090323048253,30.9233332951864,118.903226052561,43.2266665140788,16.2051612177203,4.75451614779811,3.76333331267039,4.36000005660519,6.739333375295,8.61548386850665,3.35999989509583,13.8000001907349,19,35.7000007629395,0.06253
"9",1998,10502,1547,1164,383,0.13,6.78862314156432,9.19258065377512,8.81285723618099,12.2090323048253,30.9233332951864,118.903226052561,43.2266665140788,16.2051612177203,4.75451614779811,3.76333331267039,4.36000005660519,6.739333375295,8.61548386850665,3.35999989509583,13.8000001907349,19,35.7000007629395,9.10419350285684,7.58821429525103,8.81419355638565,33.2333336194356,114.358064836071,143.076666768392,77.9903229744204,19.0206452031289,7.3773333867391,8.64451605273831,26.9173332214355,12.6867741615542,6.30999994277954,11.3000001907349,0,106,0.125118
"10",1999,15935,8130,2674,5456,0.04,1.960024600246,9.10419350285684,7.58821429525103,8.81419355638565,33.2333336194356,114.358064836071,143.076666768392,77.9903229744204,19.0206452031289,7.3773333867391,8.64451605273831,26.9173332214355,12.6867741615542,6.30999994277954,11.3000001907349,0,106,8.98419360191591,7.91862065216591,7.60612903102752,33.6946668942769,71.5129036441926,72.1566663106283,27.4548387835103,9.92096773270637,7.21699997584025,9.47870972848707,9.73233319918315,5.86032258310626,5.78000020980835,6.69999980926514,79,27.5,0.063087
"11",2000,9653,8183,5134,3049,0.04,1.17964071856287,8.98419360191591,7.91862065216591,7.60612903102752,33.6946668942769,71.5129036441926,72.1566663106283,27.4548387835103,9.92096773270637,7.21699997584025,9.47870972848707,9.73233319918315,5.86032258310626,5.78000020980835,6.69999980926514,79,27.5,5.86322576768937,4.49035714353834,6.7541935366969,15.4483332951864,52.9064516867361,36.8000000635783,11.2196774328909,6.04677417201381,4.52999997138977,5.05193550355973,11.6286667029063,6.89193547156549,4.28999996185303,71.8000030517578,14,38.2000007629395,0.008246
"12",2001,4764,8984,5471,3513,0.04,0.530276046304541,5.86322576768937,4.49035714353834,6.7541935366969,15.4483332951864,52.9064516867361,36.8000000635783,11.2196774328909,6.04677417201381,4.52999997138977,5.05193550355973,11.6286667029063,6.89193547156549,4.28999996185303,71.8000030517578,14,38.2000007629395,18.1861291546975,6.5139285496303,7.036774235387,27.1896665414174,114.170967840379,134.269999949137,30.9258062301144,7.91096774993404,4.32500000794728,4.33870963896475,6.350000055631,5.43903224698959,3.90000009536743,20.2999992370605,22,14.3000001907349,0.013566
"13",2002,7685,12887,9302,3585,0.03,0.596337394273299,18.1861291546975,6.5139285496303,7.036774235387,27.1896665414174,114.170967840379,134.269999949137,30.9258062301144,7.91096774993404,4.32500000794728,4.33870963896475,6.350000055631,5.43903224698959,3.90000009536743,20.2999992370605,22,14.3000001907349,6.33774186718848,7.60035714932851,10.8338709800474,28.4066666603088,56.2612905194682,48.4333334604899,9.42258064208492,3.4758064516129,3.05900001525879,24.8074194077523,8.55100005467733,6.19387100588891,2.75,8.89000034332275,61,180,0.01274
