"return_age","run_year","brood_year","recruits","total_spawners","Wild_Spawners"
3,1995,1992,0,230,0
3,1996,1993,65,78,65
3,1997,1994,80,42,42
3,1998,1995,0,37,0
3,1999,1996,23,65,17
3,2000,1997,49,181,42
3,2001,1998,36,127,31
3,2002,1999,342,351,260
3,2003,2000,83,59,39
3,2004,2001,0,1,0
3,2005,2002,182,142,130
3,2006,2003,92,55,55
3,2007,2004,84,71,59
3,2008,2005,109,102,102
3,2009,2006,33,50,21
3,2010,2007,0,38,0
3,2011,2008,0,9,0
3,2012,2009,1366,624,589
3,2013,2010,40,25,20
3,2014,2011,358,400,337
3,2015,2012,106,87,67
3,2016,2013,73,90,60
4,1995,1991,5142,9285,4394
4,1996,1992,15684,16260,15684
4,1997,1993,10744,8700,8237
4,1998,1994,1454,1348,932
4,1999,1995,2565,7722,2292
4,2000,1996,5513,7797,4400
4,2001,1997,5223,8151,4407
4,2002,1998,9174,11598,8335
4,2003,1999,11287,13377,9701
4,2004,2000,9413,7097,6657
4,2005,2001,4400,3125,2549
4,2006,2002,6122,4826,4210
4,2007,2003,1177,545,474
4,2008,2004,4647,4432,3541
4,2009,2005,942,561,440
4,2010,2006,3035,5298,2734
4,2011,2007,2304,2538,1925
4,2012,2008,6526,5190,4597
4,2013,2009,2299,3501,2000
4,2014,2010,7018,6230,5768
4,2015,2011,4159,4872,3475
4,2016,2012,1604,1938,1197
4,2017,2013,893,1711,759
5,1995,1990,783,1258,645
5,1996,1991,2126,1647,1538
5,1997,1992,1360,1004,991
5,1998,1993,433,339,315
5,1999,1994,410,494,410
5,2000,1995,243,331,212
5,2001,1996,612,826,476
5,2002,1997,1105,1073,794
5,2003,1998,1292,1194,993
5,2004,1999,4306,3159,2771
5,2005,2000,157,102,87
5,2006,2001,319,330,238
5,2007,2002,1318,510,452
5,2008,2003,0,0,0
5,2009,2004,250,84,61
5,2010,2005,46,73,46
5,2011,2006,248,333,248
5,2012,2007,0,28,0
5,2013,2008,52,86,52
5,2014,2009,638,619,569
5,2015,2010,0,5,0
5,2016,2011,178,210,138
5,2017,2012,83,109,69
5,2018,2013,16,36,12
