"brood_year","wild_recruits","total_spawners","wild_spawners","hatchery_spawners"
1990,783,NA,NA,NA
1991,7268,NA,NA,NA
1992,17044,NA,NA,NA
1993,11252,NA,NA,NA
1994,1951,NA,NA,NA
1995,2808,10625,4968,5657
1996,6836,17778,17101,677
1997,7115,9612,9148,464
1998,10502,1547,1164,383
1999,15935,8130,2674,5456
2000,9653,8183,5134,3049
2001,4764,8984,5471,3513
2002,7685,12887,9302,3585
2003,1282,14491,10632,3859
2004,4986,10152,9338,814
2005,1115,3248,2705,543
2006,3518,5087,4442,645
2007,2367,1009,896,113
2008,6645,4411,3571,840
2009,4312,538,431,107
2010,7082,5257,2853,2404
2011,4703,2731,2153,578
2012,1901,5702,5121,581
2013,1011,3445,1974,1471
2014,NA,7122,6572,550
2015,NA,4837,3418,1419
2016,NA,2180,1365,815
2017,NA,1702,802,900
2018,NA,1630,435,1195
