"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"Model 8b",0,0,-28.15,2.36,5.37,1.04,56.3,4.72
"Model 7b",-0.02,1.5,-28.17,2.37,5.27,0.92,56.33,4.74
"Model 8",-0.09,0.83,-28.24,2.5,5.93,1.05,56.49,5
"Model 5b",-0.45,1.83,-28.6,3.01,4.42,1.13,57.2,6.02
"Model 11b",-0.53,0.84,-28.68,2.39,6.03,1.07,57.36,4.79
"Model 5",-0.77,1.91,-28.92,2.98,4.94,1.1,57.84,5.97
"Model 9b",-0.8,2.12,-28.95,3.16,5.06,1.18,57.9,6.32
"Model 4b",-0.93,1.75,-29.08,2.26,3.52,0.63,58.17,4.52
"Model 11",-0.94,0.79,-29.09,2.33,6.51,1.01,58.18,4.66
"Model 7",-0.99,1.65,-29.14,2.37,6.02,0.98,58.28,4.74
"Model 2b",-1.2,2.64,-29.35,3.09,3.62,0.84,58.71,6.17
"Model 9",-1.5,2.02,-29.65,2.97,5.64,1.11,59.31,5.94
"Model 6b",-1.74,2.53,-29.89,3,4.8,1.11,59.77,6
"Model 4",-1.86,1.94,-30.01,2.2,4.25,0.67,60.03,4.4
"Model 0b",-2.07,2.11,-30.22,2.41,3.1,0.6,60.43,4.82
"Model 2",-2.24,2.63,-30.39,2.92,4.32,0.85,60.77,5.84
"Model 1b",-2.38,2.15,-30.53,2.72,3.96,0.84,61.07,5.45
"Model 3b",-2.53,2.44,-30.68,2.78,4.3,1,61.36,5.56
"Model 10b",-2.69,2.36,-30.84,2.97,5.56,1.2,61.68,5.94
"Model 1",-2.78,2.18,-30.93,2.59,4.34,0.77,61.86,5.19
"Model 6",-2.79,2.54,-30.94,2.89,5.48,1.13,61.89,5.78
"Model 0",-2.88,2.22,-31.03,2.31,3.71,0.65,62.05,4.61
"Model 3",-3.26,2.54,-31.41,2.75,4.9,1.05,62.82,5.49
"Model 10",-3.48,2.32,-31.63,2.78,6,1.11,63.26,5.55
