"","V1"
"ricker_linear_logRS_0",1.18179772971971e-08
"ricker_linear_logRS_1",9.96558287410589e-08
"ricker_linear_logRS_2",1.05536775346167e-08
"ricker_linear_logRS_3",3.15431146695914e-06
"ricker_linear_logRS_4",1.8243770390162e-07
"ricker_linear_logRS_5",0.0239855863381886
"ricker_linear_logRS_6",4.73775156664076e-09
"ricker_linear_logRS_7",1.01052528925137e-05
"ricker_linear_logRS_8",0.19608456653851
"ricker_linear_logRS_9",1.94337883897939e-06
"ricker_linear_logRS_10",1.24299618818796e-06
"ricker_linear_logRS_11",1.64220219575206e-06
"ricker_linear_logRS_0b",5.06702398867193e-06
"ricker_linear_logRS_1b",8.08749442626045e-08
"ricker_linear_logRS_2b",0.180348001754475
"ricker_linear_logRS_3b",4.99044051575973e-05
"ricker_linear_logRS_4b",1.81503590475061e-06
"ricker_linear_logRS_5b",0.265474879024792
"ricker_linear_logRS_6b",0.0698006959883861
"ricker_linear_logRS_7b",0.264009602535724
"ricker_linear_logRS_8b",6.25050739273477e-05
"ricker_linear_logRS_9b",0.000157596070363691
"ricker_linear_logRS_10b",7.64119162843541e-11
"ricker_linear_logRS_11b",1.30191470515406e-06
