brood_year,wild_recruits,total_spawners,wild_spawners,hatchery_spawners,CV,recruits_per_spawner,aug_mean_flow,ice_days,sep_dec_max_flow,aug_mean_flow_rear,smolt_age3_survival
1992,17044,5061,3816,1245,0.2,3.367713891,-0.63338477,1.30574522,-0.791369822,3.31397102,-0.837164226
1993,11252,5028,2580,2448,0.2,2.23786794,3.304613678,-0.607323358,-0.796610685,-0.657811129,-0.611466643
1994,1951,9510,3686,5824,0.21,0.205152471,-0.64099691,0.364394015,-0.531073796,0.025373659,-0.507769582
1995,2808,10625,4968,5657,0.05,0.264282353,0.037686117,-0.334027847,2.571515164,-0.049581929,1.098096972
1996,6836,17778,17101,677,0.04,0.384520193,-0.03677556,-0.303661679,-0.576494587,0.772048875,0.691225568
1997,7115,9612,9148,464,0.04,0.740220558,0.779441211,-0.941351205,-0.447220021,-0.706955726,1.245032155
1998,10502,1547,1164,383,0.13,6.788623142,-0.689817674,-1.093182045,-0.438485255,1.841015882,3.362549818
1999,15935,8130,2674,5456,0.04,1.9600246,1.841364393,-1.670139235,0.789622859,0.21578736,1.263876939
2000,9653,8183,5134,3049,0.04,1.179640719,0.226845112,0.72878803,-0.581735434,-0.476154733,-0.591539214
2001,4764,8984,5471,3513,0.04,0.530276046,-0.460537515,-1.245012885,-0.394811424,-0.143204407,-0.411549536
2002,7685,12887,9302,3585,0.03,0.596337394,-0.129781124,-1.002083541,-0.812333258,-0.935336949,-0.439495302
2003,1282,14491,10632,3859,0.03,0.088468705,-0.916694007,0.182197007,2.082368257,-0.788652136,-0.79656505
2004,4986,10152,9338,814,0.06,0.491134752,-0.770975756,-0.910985037,0.628903215,-0.839755612,-0.205542553
2005,1115,3248,2705,543,0.07,0.343288177,-0.821742492,-0.242929343,-0.188670955,-0.762610688,-0.730253064
2006,3518,5087,4442,645,0.06,0.691566739,-0.745105905,0.516224855,1.663099479,-0.32918185,0.438732529
2007,2367,1009,896,113,0.1,2.345887017,-0.314533092,1.153914381,0.964318183,-0.198801751,-0.486319684
2008,6645,4411,3571,840,0.08,1.50646112,-0.185012116,1.153914381,-0.651613563,-0.83318763,-0.445449848
2009,4312,538,431,107,0.11,8.014869888,-0.815217789,-0.425126351,-0.310957681,0.032921075,-0.235179951
2010,7082,5257,2853,2404,0.06,1.347156173,0.045183802,1.123548213,-0.697034354,0.89828075,-0.705893558
2011,4703,2731,2153,578,0.07,1.722079824,0.904841297,-0.759154198,-0.52059207,0.336488323,-0.248442348
2012,1901,5702,5121,581,0.09,0.333391792,0.346750731,1.153914381,-0.21662218,-0.340877456,-0.477151037
2013,1011,3445,1974,1471,0.07,0.293468795,-0.326151631,1.852336243,-0.744202071,-0.37377495,-0.369732385
