"run_year","total_spawners","wild_spawners","hatchery_spawners"
1995,10625,4968,5657
1996,17778,17096,682
1997,9612,9144,468
1998,1547,1164,383
1999,8130,2674,5456
2000,8183,5134,3049
2001,8984,5471,3513
2002,12887,9302,3585
2003,14491,10632,3859
2004,10152,9338,814
2005,3248,2705,543
2006,5087,4442,645
2007,1009,896,113
2008,4411,3571,840
2009,538,431,107
2010,5257,2853,2404
2011,2731,2153,578
2012,5702,5121,581
2013,3445,1974,1471
2014,7122,6572,550
2015,4837,3418,1419
2016,2180,1365,815
2017,1702,802,900
2018,1630,435,1195
